Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2018-03-02,975542.2661437637,997839.2368598141,923514.7623203744,1047585.9311113374,1082290.1295371654,1020791.1824225344,1220836.6306750472
2018-03-05,975096.82177459,997016.1582269865,923884.926315811,1059693.851348209,1094287.1304441898,1027640.0988147259,1237196.8006044633
2018-03-06,973916.7723042002,995235.3966317652,924008.347282344,1062380.52900121,1098916.6028227196,1029280.613575559,1211867.9473225146
2018-03-07,975857.1588932258,998011.0752649717,924131.7847365743,1061991.0061757579,1101459.5627748482,1028976.8043973861,1184517.3673632108
2018-03-08,976470.5263083964,998850.0682118983,924255.2386807044,1067130.190078658,1107523.3748518168,1032622.2032875449,1164282.9201551378
2018-03-09,976907.5195356412,999431.4652744252,924378.7091169372,1085700.6756373367,1129040.0428393928,1042628.8457710952,1162255.5656986744
2018-03-12,973134.5454419844,993747.4661467628,924749.2194002853,1084338.2544329173,1135038.3336247718,1042079.1127531896,1158860.7603732946
2018-03-13,971491.1876286544,991293.1896536909,924872.7558269636,1077330.276383508,1119585.6873822974,1038586.6316064538,1158581.232494951
2018-03-14,972390.9890923977,992548.0673879671,924996.3087567633,1071801.838895056,1119390.0670141284,1036090.337871483,1123722.149782984
2018-03-15,969052.036223982,987622.4310587628,925119.8781918893,1070634.0108284252,1118411.545837018,1035451.8488049777,1125093.0087678705
2018-03-16,970769.9733942602,990067.11408485,925243.4641345462,1071794.6367277284,1115086.6285825465,1035892.487183806,1126722.599500055
2018-03-19,968498.001746292,986585.3877375281,925614.3210297573,1057293.4430189764,1091295.061350992,1027055.9995182414,1139521.632577119
2018-03-20,970100.3538559484,988860.7278094044,925737.9730245937,1059091.2251418377,1094886.7813048146,1027448.765905651,1150830.548793341
2018-03-21,970605.1955120475,989539.2624873434,925861.6415379903,1057058.6658261002,1090119.3472947143,1026226.8993867239,1151550.5622438777
2018-03-22,968277.466563259,986092.4130740984,925985.3265721537,1030635.3274115367,1063212.5309417741,1011606.9402806364,1143889.0817362056
2018-03-23,970676.1291814744,989525.6634759507,926109.028129291,1008667.5054835756,1035195.5218241458,998669.5992828342,1149938.6472634152
2018-03-26,973396.0791610145,993316.318561814,926480.2319606203,1036263.5855929463,1073662.0761925601,1014913.4223461391,1123752.5572613638
2018-03-27,973407.2436951239,993275.7244751945,926603.9996317287,1018635.1031346999,1038918.1795270803,1005734.8659619205,1108402.095196583
